title,imdb_id,year,summary,people,decade,people_count,has_summary,language
All We Imagine as Light,tt32086077,2025.0,"All We Imagine as Light is a 2024 drama film written and directed by Payal Kapadia. The cast includes Kani Kusruti, Divya Prabha, Chhaya Kadam and Hridhu Haroon. Featuring Malayalam, Hindi, and Marathi dialogue, it is an international co-production involving companies from France, India, Netherlands, Luxembourg and Italy.",Chhaya Kadam; Divya Prabha; Kani Kusruti; Payal Kapadia; Ranabir Das; Thomas Hakim,2020.0,6,True,
Arjun Son of Vyjayanthi,tt28291501,2025.0,,Nandamuri Kalyan Ram; Vijayashanti,2020.0,2,False,
Binodiini: Ekti Natir Upakhyan,tt21981402,2025.0,,Chandan Roy Sanyal; Kaushik Ganguly; Mir Afsar Ali; Om Sahani; Rahul Bose; Ram Kamal Mukherjee; Rukmini Maitra,2020.0,7,False,
Brahma Anandam,tt32324361,2025.0,,Brahmanandam; Priya Vadlamani; Vennela Kishore,2020.0,3,False,
Chaurya Paatham,tt31311161,2025.0,,Trinadha Rao Nakkina,2020.0,1,False,
Crazxy,tt30798612,2025.0,"Crazxy is a 2025 Indian Hindi-language thriller film written and directed by Girish Kohli in his directorial debut and produced by Sohum Shah, Mukesh Shah, Amita Shah and Adesh Prasad and co-produced by Ankit Jain under Sohum Shah Films. The film stars Sohum in the lead role and the only on-screen character, as surgeon Abhimanyu Sood, who races against time to rescue his daughter from a kidnapper.",Girish Kohli; Sohum Shah; Tinnu Anand,2020.0,3,True,Hindi
Dhadak 2,tt27540784,2025.0,,Karan Johar; Siddhant Chaturvedi; Tripti Dimri,2020.0,3,False,
Dragon (2025 film),tt32080876,2025.0,,Anupama Parameswaran; Ashwath Marimuthu; Pradeep Ranganathan,2020.0,3,False,
Ei Raat Tomar Amaar,tt31109510,2025.0,,Anjan Dutt; Aparna Sen; Parambrata Chatterjee,2020.0,3,False,
Ground Zero (2025 film),tt28377588,2025.0,,Emraan Hashmi; Farhan Akhtar; Ritesh Sidhwani; Sai Tamhankar; Tejas Prabha Vijay Deoskar,2020.0,5,False,
Omorshongi,tt35052587,2025.0,,Sohini Sarkar; Vikram Chatterjee,2020.0,2,False,
Puratawn,tt36557508,2025.0,"Puratawn is a 2025 Indian Bengali‐language drama film directed by Suman Ghosh and produced by Rituparna Sengupta under her banner Bhavna Aaj O Kal. The film stars Sharmila Tagore as a matriarch experiencing memory decline, alongside Rituparna as her daughter, Indraneil Sengupta, and Brishti Ray in supporting roles.",Indraneil Sengupta; Rituparna Sengupta; Sharmila Tagore; Subhrajit Dutta; Suman Ghosh,2020.0,5,True,
Rekhachithram,tt32284154,2025.0,"Rekhachithram is a 2025 Indian Malayalam-language mystery crime drama alternative historical film directed by Jofin T. Chacko, scripted by John Manthrikal, based on a story by Ramu Sunil. The film was produced by Kavya Film Company and Ann Mega Media. It stars Asif Ali and Anaswara Rajan with Manoj K. Jayan, Siddique, Jagadish, Saikumar, Harisree Ashokan and Indrans. In Malakkappara, Vivek rejoins as SHO and take charge of suicide case of Rajendran who revealed details on a crime he had done years ago; the investigation leads to disappearance of a young girl from the filming location of Bharathan's Kathodu Kathoram..",Anaswara Rajan; Asif Ali; Harisree Ashokan; Indrans; Jagadish; Jofin T. Chacko; Mammootty; Manoj K. Jayan; Saikumar; Saleema; Shaheen Siddique; Siddique; Unni Lalu; Zarin Shihab,2020.0,14,True,Malayalam
Shadowbox (film),tt35503482,2025.0,,Saumyananda Sahi; Tanushree Das,2020.0,2,False,
Shotyi Bole Shotyi Kichhu Nei,tt35118088,2025.0,"Shotyi Bole Shotyi Kichhu Nei, also known by the initialism SBSKN, is a 2025 Indian Bengali-language legal thriller film written and directed by Srijit Mukherji. Produced by Shrikant Mohta and Mahendra Soni under the banner of Shree Venkatesh Films, the film is an official adaptation of the 1986 Hindi film Ek Ruka Hua Faisla, which is itself a remake of the American film 12 Angry Men (1957) directed by Sidney Lumet, which was an adaptation from a 1954 teleplay of the same name by Reginald Rose. It stars an ensemble cast of Kaushik Ganguly, Parambrata Chatterjee, Kaushik Sen, Ritwick Chakraborty, Anirban Chakrabarti, Ananya Chatterjee, Arjun Chakrabarty, Rahul Banerjee, Sauraseni Maitra, Kanchan Mullick, Phalguni Chatterjee and Suhotra Mukhopadhyay.",Ananya Chatterjee; Anirban Chakraborty; Arjun Chakrabarty; Kanchan Mullick; Kaushik Ganguly; Kaushik Sen; Koushik Kar; Parambrata Chatterjee; Rahul Banerjee; Ritwick Chakraborty; Sauraseni Maitra; Srijit Mukherji,2020.0,12,True,Bengali
Single (film),tt35694565,2025.0,,Allu Aravind; Caarthick Raju; Ketika Sharma; Sree Vishnu,2020.0,4,False,
Thandel,tt27907811,2025.0,"Thandel is a 2025 Indian Telugu-language romantic action thriller film written and directed by Chandoo Mondeti. Produced by Bunny Vasu under Geetha Arts, and starring Naga Chaitanya and Sai Pallavi. The film is based on a real-life incident that occurred in 2018, depicting how Pakistani forces captured a fisherman from Srikakulam in international waters.",Allu Aravind; Bunny Vasu; Chandoo Mondeti,2020.0,3,True,Telugu
The Storyteller (2022 film),tt7782402,2025.0,,Adil Hussain; Anant Mahadevan; Paresh Rawal,2020.0,3,False,
35 Chinna Katha Kaadu,tt32750432,2024.0,"35 Chinna Katha Kaadu is a 2024 Indian Telugu-language comedy drama film written and directed by Nanda Kishore Emani in his directorial debut. The film features Nivetha Thomas, Arundev Pothula, Vishwadev Rachakonda and Priyadarshi Pulikonda in lead roles. The film was released on 6 September 2024 to positive reviews from critics.",,2020.0,0,True,Telugu
7/G,tt28755920,2024.0,7/G is a 2024 Indian Tamil-language horror film directed by Haroon and starring Sonia Agarwal and Smruthi Venkat. The film was released on 5 July 2024 to mixed-to-negative reviews.,Haroon,2020.0,1,True,Tamil
ARM (film),tt11531182,2024.0,"A.R.M is a 2024 Indian Malayalam-language action adventure film directed by Jithin Laal, written by Sujith Nambiar, and produced by Magic Frames and UGM Entertainment. The film stars Tovino Thomas in a triple roles alongside Krithi Shetty, Basil Joseph, Aishwarya Rajesh, Surabhi Lakshmi, Rohini, Shivajith, Harish Uthaman, Kabir Duhan Singh, Jagadish, Aju Varghese, Sudheesh and Biju Kuttan in prominent roles.",Aishwarya Rajesh; Aju Varghese; Basil Joseph; Harish Uthaman; Jagadish; Kabir Duhan Singh; Krithi Shetty; Parvathi T; Rohini; Sanju Sivram; Santhosh Keezhattoor; Shivajith Padmanabhan; Sudheesh; Surabhi Lakshmi; Tovino Thomas,2020.0,15,True,Malayalam
Aarambham (2024 film),tt31436476,2024.0,"Aarambham (transl. Beginning) is a 2024 Indian Telugu-language science fiction drama film written and directed by Ajay Nag V. The film features Mohan Bhagat, Supritha Sathyanarayan, Bhooshan and Ravindra Vijay in important roles. Aarambham is an adaptation of the Kannada novel Neenu Ninnolage Khaidi, and was released on 10 May 2024.",,2020.0,0,True,Telugu
Aavesham (2024 film),tt26660021,2024.0,"Aavesham (transl. Excitement) is a 2024 Indian Malayalam-language action comedy film written and directed by Jithu Madhavan. It is produced by Fahadh Faasil, Nazriya Nazim, and Anwar Rasheed under their Fahadh Faasil and Friends and Anwar Rasheed Entertainments production banners. The film stars Faasil, Hipzster, Mithun Jai Shankar, Roshan Shanavas, and Sajin Gopu. In the film, three youngsters in Bengaluru befriends a local gangster to help them take revenge on their college bully.",Anwar Rasheed; Nazriya Nazim,2020.0,2,True,Malayalam
Adbhut,tt15560952,2024.0,"Adbhut is an Indian Hindi-language supernatural horror film written and directed by Sabbir Khan. it stars Nawazuddin Siddiqui, Diana Penty and Shreya Dhanwanthary. The film was premiered directly on Sony Max on 15 September.",,2020.0,0,True,Hindi
Adharma Kadhaigal,tt33075455,2024.0,"Adharma Kadhaigal is a 2024 Indian Tamil-language fantasy thriller drama film written and directed by Kamaraj Vel. The film stars Vetri, Sakshi Agarwal, Ammu Abhirami, and Dhivya Duraisamy in lead roles.",,2020.0,0,True,Tamil
Ajogyo,tt32308936,2024.0,"Ajogyo is a 2024 Indian Bengali language romantic thriller written and directed by Kaushik Ganguly. The film stars Prosenjit Chatterjee, Rituparna Sengupta, Silajit Majumder and Lily Chakravarty in the lead roles. Ambarish Bhattacharya and Sudip Mukherjee play other pivotal roles. It is produced by Surinder Singh and Nispal Singh under the banner of Surinder Films.",Kaushik Ganguly; Prosenjit Chatterjee; Rituparna Sengupta,2020.0,3,True,Bengali
Alaap (2024 film),tt31995703,2024.0,"Alaap is a 2024 Indian Bengali-language romantic drama film written and directed by Premendu Bikash Chaki. Produced by Nispal Singh and Surinder Singh under the banner of Surinder Films, it stars Abir Chatterjee, Mimi Chakraborty and Swastika Dutta in the lead roles.",Abir Chatterjee; Mimi Chakraborty; Swastika Dutta,2020.0,3,True,Bengali
Aliya Basu Gayab Hai,tt10545214,2024.0,"Aliya Basu Gayab Hai is a 2024 Indian Hindi -language film directed by Preeti Singh and produced by Rehab Pictures Private Limited. The film stars Salim Diwan, Vinay Pathak and Raima Sen.",Mohsin Khan; Preeti Singh; Raima Sen; Salim Diwan; Vinay Pathak,2020.0,5,True,
All India Rank,tt24973142,2024.0,"All India Rank is a 2023 Indian Hindi-language coming of age comedy drama film directed and written by Varun Grover and produced by Matchbox Shots. The film stars Bodhisattva Sharma in a lead role alongside Shashi Bhushan, Samta Sudiksha, Geeta Agarwal, and Sheeba Chaddha. It was the closing film at the 52nd IFFR. The film was released theatrically on 23 February 2024 to positive reviews from critics.",Sheeba Chaddha; Varun Grover,2020.0,2,True,Hindi
Athhoi,tt32241523,2024.0,"Athhoi is a 2024 Bengali romantic tragedy thriller film directed by Arna Mukhopadhyay. The film stars Anirban Bhattacharya, Arna Mukhopadhyay and Sohini Sarkar in lead roles. Produced by Jyoti Deshpande, Shrikant Mohta and Mahendra Soni under the banner of SVF and Jio Studios, the film is a contemporary retelling and modern adaptation of the epic Othello by William Shakespeare.",Anirban Bhattacharya; Sohini Sarkar,2020.0,2,True,
Avatara Purusha 2,tt31975704,2024.0,,Simple Suni,2020.0,1,False,
Ayalaan,tt7892066,2024.0,"Ayalaan ( transl. Alien) is a 2024 Indian Tamil-language science fiction film directed by R. Ravikumar and produced by KJR Studios. The film stars Sivakarthikeyan and Rakul Preet Singh in the lead roles, alongside Sharad Kelkar, Isha Koppikar, Karunakaran, Yogi Babu, David Broughton-Davies, Bhanupriya and Bala Saravanan, with Siddharth voicing the titular role. It follows Thamizh who teams up with Tattoo, an alien, to stop Aryan, a rogue scientist, from making a deadly Nova gas, which would endanger the Earth.",R. Ravikumar,2020.0,1,True,Tamil
Bachchala Malli,tt27611340,2024.0,,Allari Naresh; Amritha Aiyer; Razesh Danda,2020.0,3,False,
Bachelor Party (2024 film),tt27424501,2024.0,"Bachelor Party is a 2024 Indian Kannada-language comedy film written and directed by Abhijit Mahesh and produced by Rakshit Shetty under Paramvah Studios. It stars Diganth Manchale, Yogesh and Achyuth Kumar in the lead roles. The music was composed by Arjun Ramu, while the cinematography and editing were handled by Arvind S. Kashyap and Abhishek M.",,2020.0,0,True,Kannada
Bade Miyan Chote Miyan (2024 film),tt18072316,2024.0,,Akshay Kumar; Alaya F; Ali Abbas Zafar; Manushi Chhillar; Prithviraj Sukumaran; Sonakshi Sinha; Tiger Shroff,2020.0,7,False,
Binny and Family,tt20452454,2024.0,,Ekta Kapoor; Himani Shivpuri; Mahaveer Jain; Pankaj Kapur; Shashank Khaitan,2020.0,5,False,
Bloody Ishq,tt31115432,2024.0,,,2020.0,0,False,
Boat (2024 film),tt28433919,2024.0,,Chimbu Deven,2020.0,1,False,
Bohurupi,tt32857110,2024.0,"Bohurupi [transl. One with many forms, also Chameleon ] is a 2024 Indian Bengali-language vigilante heist action thriller film written by Nandita Roy and directed by Nandita Roy & Shiboprosad Mukherjee. The film stars Shiboprosad Mukherjee, Abir Chatterjee, Ritabhari Chakraborty and Koushani Mukherjee in the lead roles. Produced by Nandita Roy and Shiboprosad Mukherjee under the banner of Windows, the film is based upon a chain of real life events in the timeline between 1998 and 2005.",Abir Chatterjee; Koushani Mukherjee; Nandita Roy; Ritabhari Chakraborty; Shiboprosad Mukherjee,2020.0,5,True,Bengali
Boomer Uncle,tt23857200,2024.0,,Oviya; Yogi Babu,2020.0,2,False,
Boomerang (2024 film),tt29253812,2024.0,"Boomerang is a 2024 Indian Bengali-language science fiction comedy-drama film co-written and directed by Sauvik Kundu. Produced by Jeet, Gopal Madnani and Amit Jumrani under the banner of Jeetz Filmworks and Grassroot Entertainment, it stars Jeet himself and Rukmini Maitra in the lead, both portraying dual roles alongside an ensemble cast of Sourav Das, Rajatava Dutta, Kharaj Mukherjee, Ambarish Bhattacharya, Shyamal Chakraborty, Jhulan Bhattacharya, Ayesha Bhattacharya and Debchandrima Singha Roy, with Biswanath Basu in a special appearance.",Jeet; Rukmini Maitra,2020.0,2,True,Bengali
Bootcut Balaraju,tt27721719,2024.0,,,2020.0,0,False,
Brahmmavaram PS Paridhilo,tt27510137,2024.0,,,2020.0,0,False,
Buddy (2024 film),tt26235048,2024.0,,,2020.0,0,False,
Builder Boys,tt32152041,2024.0,,Chanakya Patel,2020.0,1,False,
CTRL (film),tt12736014,2024.0,,Vikramaditya Motwane,2020.0,1,False,
Captain Miller (film),tt22170036,2024.0,,Aditi Balan; Alexx O'Nell; Bala Saravanan; Bose Venkat; Dhanush; Edward Sonnenblick; Elango Kumaravel; Jayaprakash; John Kokken; Kaali Venkat; Nassar; Nivedhithaa Sathish; Priyanka Arul Mohan; Shiva Rajkumar; Sundeep Kishan; Viji Chandrasekhar; Vinoth Kishan,2020.0,17,False,
Case of Kondana,tt30429449,2024.0,,Bala Rajwadi; Bhavana; Kushee Ravi; Rangayana Raghu; Sundar Raj; Vijay Raghavendra,2020.0,6,False,
Chaari 111,tt29996716,2024.0,,Murali Sharma; Rahul Ravindran; Samyuktha Viswanathan,2020.0,3,False,
Crakk,tt22869490,2024.0,,,2020.0,0,False,
Crew (film),tt21383812,2024.0,,Anil Kapoor; Diljit Dosanjh; Ekta Kapoor; Kapil Sharma; Kareena Kapoor Khan; Kriti Sanon; Rajesh Krishnan; Rhea Kapoor; Tabu,2020.0,9,False,
Darling (2024 film),tt32199626,2024.0,,Aswin Raam; Brahmanandam,2020.0,2,False,
Dear (film),tt24244300,2024.0,,,2020.0,0,False,
Deepavali Bonus,tt23052340,2024.0,,Riythvika; Vikranth,2020.0,2,False,
Devara: Part 1,tt11821912,2024.0,,Janhvi Kapoor; Koratala Siva; Murali Sharma; N. T. Rama Rao Jr.; Prakash Raj; Saif Ali Khan; Shine Tom Chacko; Srikanth,2020.0,8,False,
Dhoom Dhaam (2024 film),tt32546023,2024.0,,Eijaz Khan; Garima Yajnik; Kavin Dave; Mukul Chadda; Mushtaq Khan; Pavitra Sarkar; Prateik Babbar; Pratik Gandhi; Sai Kishore Macha; Yami Gautam,2020.0,10,False,
Dukaan,tt15458936,2024.0,"Dukaan is a 2024 Hindi-language comedy drama film written and directed by Siddharth Singh and Garima Wahal, and produced by S K Ahluwalia, Siddharth Singh, Garima Wahal, and Srujan Yarabolu, under the banner of Waveband Productions and Kalamkaar Picture Productions. The film features Monika Panwar, Monali Thakur and Soham Majumdar as the lead characters.",Monali Thakur; Monika Panwar; Vrajesh Hirjee,2020.0,3,True,Hindi
Eta Amader Golpo,tt29705562,2024.0,,Aparajita Auddy; Manasi Sinha; Saswata Chatterjee,2020.0,3,False,
Gangs of Godavari,tt27349461,2024.0,,,2020.0,0,False,
Girls Will Be Girls (2024 film),tt18277182,2024.0,"Girls Will Be Girls is a 2024 coming-of-age drama film, written and directed by Shuchi Talati. It stars Preeti Panigrahi, Kani Kusruti, and Kesav Binoy Kiron. An Indian and French co-production, the film is Talati's feature directorial debut, as well as the acting debut of both Panigrahi and Kiron. The film is set in a boarding school in the Himalayan foothills, and centers around teenager Mira's romance with a charming new student, her subsequent sexual awakening, and at times strained relationship with her protective mother.",Claire Chassagne; Kani Kusruti; Preeti Panigrahi; Richa Chadha; Shuchi Talati,2020.0,5,True,
Hanu-Man,tt15433956,2024.0,,Amritha Aiyer; Prasanth Varma; Teja Sajja; Varalaxmi Sarathkumar; Vinay Rai,2020.0,5,False,
Happy Ending (2024 film),tt27859386,2024.0,,,2020.0,0,False,
Hitler (2024 film),tt29340778,2024.0,,,2020.0,0,False,
Hot Spot (film),tt31391056,2024.0,"Hot Spot is a 2024 Indian Tamil-language anthology film directed by Vignesh Karthick and starring Kalaiyarasan, Sofia, Sandy, Ammu Abhirami, Janani, Gouri G. Kishan, Subash and Adithya Bhaskar. The film was released on 29 March 2024 to positive reviews from critics but performed poorly at the box office.",Ammu Abhirami; Gouri Kishan; Janani Iyer; Kalaiyarasan; Vignesh Karthick,2020.0,5,True,Tamil
Indian 2,tt8066940,2024.0,"Indian 2 is a 2024 Indian Tamil-language vigilante action film directed by S. Shankar, who co-wrote the script with B. Jeyamohan, Kabilan Vairamuthu and Lakshmi Saravana Kumar. The film is jointly produced by Lyca Productions and Red Giant Movies. It is the second instalment in the Indian trilogy and sequel to Indian (1996). Kamal Haasan reprises his role as Senapathy, an aging freedom fighter turned vigilante who fights against corruption, with an ensemble cast including Siddharth, Rakul Preet Singh, Priya Bhavani Shankar, Vivek, S. J. Suryah, Samuthirakani, Bobby Simha, Nedumudi Venu, Delhi Ganesh, Manobala, Jagan, Kalidas Jayaram and Gulshan Grover. In the film, set years after the events in Indian, Senapathy returns from abroad to aid Chitra Aravindhan and his team, to deal with corruption in the country.",S. Shankar; Subaskaran Allirajah,2020.0,2,True,Tamil
Kahan Shuru Kahan Khatam,tt33245905,2024.0,,,2020.0,0,False,
Kaliachak Chapter 1,tt32523329,2024.0,,,2020.0,0,False,
Kalki 2898 AD,tt12735488,2024.0,,Amitabh Bachchan; Aswani Dutt; Deepika Padukone; Disha Patani; Kamal Haasan; Nag Ashwin; Prabhas,2020.0,7,False,
Khadaan,tt30701950,2024.0,"Khadaan ( transl. Quarry) is a 2024 Indian Bengali-language action thriller film written and directed by Soojit Rino Dutta. Produced by Nispal Singh and Dev under the banners of Surinder Films and Dev Entertainment Ventures respectively, the film stars Dev in dual roles, alongside Jisshu Sengupta in the lead, with an ensemble cast of Anirban Chakrabarti, Barkha Bisht, Idhika Paul, John Bhattacharya, Partha Sarathi Chakraborty, Sneha Bose, Sujan Neel Mukherjee, Sumit Ganguly and Raja Dutta. In the film, an ordinary fair organizer from a coal mine near the Damodar Valley, is recruited by his dead father's like-minded friend to be a partner in his coal syndicate, and there the former discovers the truth on some unfolded events.",Anirban Chakraborty; Barkha Bisht; Deepak Adhikari; Idhika Paul; Jisshu Sengupta,2020.0,5,True,Bengali
Kishkindha Kaandam,tt15980138,2024.0,,Aparna Balamurali; Ashokan; Asif Ali; Jagadish; Major Ravi; Nishan; Nizhalgal Ravi; Shebin Benson; Vijayaraghavan,2020.0,9,False,
Koli Esru,tt31106876,2024.0,,,2020.0,0,False,
Kozhipannai Chelladurai,tt30764809,2024.0,,,2020.0,0,False,
Krishnamma (film),tt15509142,2024.0,,,2020.0,0,False,
Kuberaa,tt23846482,2024.0,"Kuberaa is an upcoming Indian social thriller film directed by Sekhar Kammula. It is produced by Suniel Narang and Puskur Rammohan Rao under Amigos Creations and is simultaneously shot in Telugu, Tamil and Hindi. The film stars Dhanush, Nagarjuna, Rashmika Mandanna, Jim Sarbh and Dalip Tahil.",Akkineni Nagarjuna; Dalip Tahil; Dhanush; Jim Sarbh; Rashmika Mandanna; Sekhar Kammula,2020.0,6,True,
Kuch Khattaa Ho Jaay,tt22543124,2024.0,"Kuch Khattaa Ho Jaay is a 2024 Indian Hindi-language romantic comedy directed by G. Ashok. Produced under Mach Films, the film is written by Raj Saluj, Niket Pandey and Vijay Pal Singh and stars Guru Randhawa and Saiee Manjrekar.",Anupam Kher; G. Ashok; Guru Randhawa; Ila Arun; Paresh Ganatra; Saiee Manjrekar,2020.0,6,True,Hindi
Laapataa Ladies,tt21626284,2024.0,,Aamir Khan; Chhaya Kadam; Durgesh Kumar; Jyoti Deshpande; Kiran Rao; Nitanshi Goel; Pratibha Ranta; Ravi Kishan; Sparsh Shrivastav,2020.0,9,False,
Laughing Buddha (film),tt27706855,2024.0,,,2020.0,0,False,
Lover (2024 film),tt28566478,2024.0,,K. Manikandan; Kanna Ravi; Saravanan,2020.0,3,False,
Lucky Baskhar,tt27540542,2024.0,,Dulquer Salmaan; Hyper Aadi; Meenakshi Chaudhary; Prabhas Sreenu; Raghu Babu; Ramki; Rithvik; Sachin Khedekar; Sai Kumar; Sarvadaman D. Banerjee; Sivannarayana Naripeddi; Sudha; Surya Sreenivas; Tinnu Anand; Venky Atluri; Y. Kasi Viswanath,2020.0,16,False,
Maharaj (film),tt4501268,2024.0,,Junaid Khan; Siddharth P. Malhotra; Vipul Mehta,2020.0,3,False,
Maharaja (2024 film),tt26548265,2024.0,,A. Govindamoorthy; Abhirami; Anurag Kashyap; Aruldoss; Bharathiraja; Divyabharathi; Lizzie Antony; Mamta Mohandas; Manikandan; Mohan Raman; Munishkanth; Natarajan Subramaniam; Nithilan Saminathan; P. L. Thenappan; Poovaiyar; Poster Nandakumar; Saravana Subbiah; Singampuli; Sreeja Ravi; Vijay Sethupathi; Vinod Sagar,2020.0,21,False,
Main Ladega,tt32023291,2024.0,,,2020.0,0,False,
Malhar (film),tt32370994,2024.0,,,2020.0,0,False,
Maruthi Nagar Subramanyam,tt31712109,2024.0,,,2020.0,0,False,
Mazhai Pidikkatha Manithan,tt27413174,2024.0,,,2020.0,0,False,
Meiyazhagan,tt26758372,2024.0,,Arvind Swamy; C. Prem Kumar; Devadarshini; Jayaprakash; Jyothika; Karthik Siva kumar; Rajkiran; Saran Shakthi; Sri Divya; Suriya,2020.0,10,False,
Merry Christmas (2024 film),tt15392282,2024.0,,Sriram Raghavan,2020.0,1,False,
Mirza: Part 1 - Joker,tt22054994,2024.0,,Ankush Hazra; Kaushik Ganguly; Oindrila Sen; Rishi Kaushik; Shantilal Mukherjee,2020.0,5,False,
Mission: Chapter 1,tt23752056,2024.0,,A. L. Vijay; Amy Jackson; Arun Vijay; Bharath Bopanna; Jason Shah; Nimisha Sajayan; Subaskaran Allirajah; Viraj,2020.0,8,False,
Monkey Man (film),tt9214772,2024.0,,Ashwini Kalsekar; Basil Iwanyk; Christine Haebler; Dev Patel; Ian Cooper; John Collee; Jomon Thomas; Jordan Peele; Makarand Deshpande; Paul Angunawela; Pitobash Tripathy; Sharlto Copley; Sikandar Kher; Sobhita Dhulipala; Vipin Sharma; Win Rosenfeld,2020.0,16,False,
Munda Rockstar,tt27146888,2024.0,,Mohammad Nazim; Satyajeet Puri; Yuvraj Hans,2020.0,3,False,
Murder Mubarak,tt27028399,2024.0,,Dimple Kapadia; Dinesh Vijan; Gazal Dhaliwal; Homi Adajania; Karisma Kapoor; Pankaj Tripathi; Sanjay Kapoor; Sara Ali Khan; Suhail Nayyar; Tisca Chopra; Vijay Varma,2020.0,11,False,
Music Shop Murthy,tt32189369,2024.0,,,2020.0,0,False,
My Hero (2024 film),tt32982630,2024.0,,,2020.0,0,False,
Naam (2024 film),tt13562602,2024.0,,Ajay Devgn; Anees Bazmee; Bhumika Chawla; Mukesh Tiwari; Rahul Dev; Yashpal Sharma,2020.0,6,False,
Nadikar,tt15816336,2024.0,,,2020.0,0,False,
Navra Maza Navsacha 2,tt31313704,2024.0,,,2020.0,0,False,
Neela Nira Sooriyan,tt28671772,2024.0,,,2020.0,0,False,
Nunakkuzhi,tt29274198,2024.0,"Nunakkuzhi is a 2024 Indian Malayalam-language crime comedy film directed by Jeethu Joseph, and starring Basil Joseph, Grace Antony and Nikhila Vimal in the lead roles alongside Siddique, Manoj K. Jayan, Baiju Santhosh, Binu Pappu, Saiju Kurup, Aju Varghese and Althaf Salim in supporting roles.",,2020.0,0,True,Malayalam
Operation Valentine (film),tt22152120,2024.0,,Manushi Chhillar; Varun Tej,2020.0,2,False,
Padikada Pakkangal,tt31923872,2024.0,,George Maryan; Lollu Sabha Manohar; Prajin; Yashika Aannand,2020.0,4,False,
Pariah (2024 film),tt30777379,2024.0,,Ambarish Bhattacharya; Angana Royy; Sreelekha Mitra; Tathagata Mukherjee; Vikram Chatterjee,2020.0,5,False,
Prasanna Vadanam,tt31616213,2024.0,,Nandu; Suhas; Viva Harsha,2020.0,3,False,
Preminchoddu,tt29354056,2024.0,,,2020.0,0,False,
Pushpa 2: The Rule,tt16539454,2024.0,,Allu Arjun; Fahadh Faasil; Rashmika Mandanna; Sukumar,2020.0,4,False,
Raayan,tt26233598,2024.0,"Raayan is a 2024 Indian Tamil-language neo-noir action thriller film written and directed by Dhanush. It is produced by Kalanithi Maran under Sun Pictures. The film stars Dhanush in the titular role, alongside Dushara Vijayan, S. J. Suryah, Sundeep Kishan, Kalidas Jayaram, Selvaraghavan, Prakash Raj, Aparna Balamurali, Varalaxmi Sarathkumar, Saravanan, Dileepan and Divya Pillai. In the film, a food truck owner in North Chennai struggles to protect his family when they inadvertently get muddled in a war between two rival gangs.",Aparna Balamurali; Aranthangi Nisha; Cell Murugan; Devadarshini; Dhanush; Dileepan; Divya Pillai; Dushara Vijayan; Ilavarasu; K. Selvaraghavan; Kalidas Jayaram; Madhan Bob; Namo Narayana; Nithya Menen; Prakash Raj; S. J. Surya; Saravanan; Sundeep Kishan; Varalaxmi Sarathkumar,2020.0,19,True,Tamil
Rocket Driver,tt32639066,2024.0,,Sunaina,2020.0,1,False,
Santosh (2024 film),tt30444418,2024.0,,Sandhya Suri; Shahana Goswami; Sunita Rajwar,2020.0,3,False,
Sarfira,tt23475174,2024.0,,Akshay Kumar; Jyothika; Radhika Madan; Sudha Kongara Prasad; Suriya; Vikram Malhotra,2020.0,6,False,
Secret Home,tt26923519,2024.0,,Anu Mohan; Aparna Das; Chandunath G Nair; Parvathi T; Sshivada,2020.0,5,False,
Sevappi,tt30828158,2024.0,,Poornima Ravi,2020.0,1,False,
Shastri (2024 film),tt31261183,2024.0,,Anirban Chakraborty; Debashree Roy; Kanchan Mullick; Mithun Chakraborty; Pathikrit Basu; Rajatava Dutta; Saswata Chatterjee; Sauraseni Maitra,2020.0,8,False,
Silence 2: The Night Owl Bar Shootout,tt28500558,2024.0,,Manoj Bajpai; Prachi Desai; Sahil Vaid; Vaquar Shaikh,2020.0,4,False,
Sky Force (film),tt27056066,2024.0,"Sky Force is a 2025 Indian Hindi-language action drama film centred around India's first airstrike at the Sargodha airbase of Pakistan in the Indo-Pakistani air war of 1965. The film stars Akshay Kumar and newcomer Veer Pahariya, alongside Sara Ali Khan and Nimrat Kaur. It is directed by Abhishek Anil Kapur and Sandeep Kewlani, and produced by Maddock Films and Jio Studios.",Amar Kaushik; Dinesh Vijan; Jyoti Deshpande,2020.0,3,True,Hindi
Srikakulam Sherlock Holmes,tt32495402,2024.0,,Aditi Gautam; Ananya Nagalla; Prabhakar; Vennela Kishore,2020.0,4,False,
Stree 2,tt27510174,2024.0,,Aakash Dabhade; Abhishek Banerjee; Amar Kaushik; Anya Singh; Aparshakti Khurana; Dinesh Vijan; Jyoti Deshpande; Mushtaq Khan; Pankaj Tripathi; Rajkummar Rao; Shraddha Kapoor; Sunita Rajwar,2020.0,12,False,
Swargam,tt32161676,2024.0,"Swargam is a 2024 Indian Malayalam-language family drama film directed by Rejis Antony and produced by Dr. Lizy K. Fernandez & Team under the banner of CN Global Movies. The film explores themes of family, togetherness, and love, with a star-studded ensemble cast.",Aju Varghese; Johny Antony; Manju Pillai; Sijay,2020.0,4,True,Malayalam
Tantra (film),tt28535416,2024.0,,Ananya Nagalla; Saloni Aswani,2020.0,2,False,
